golden_id,thread_id,customer_tweet_id,customer_created_at,full_context,customer_message,historical_brand_response,intent_label,expected_action,acceptable_resolution,label_notes
54,2048862,2048862,Thu Oct 05 15:42:28 +0000 2017,,Hey @AppleSupport iOS 11 it’s so pretty but is ñor functional. Decrease the battery and is too slow to open any app.,@605933 Let's look into this together. Did the slowness start immediately after updating or after using an app? Let us know in DM. https://t.co/GDrqU22YpT,connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
55,1893972,1893971,Wed Oct 18 12:32:47 +0000 2017,"customer: Dear @115858, your engineers have got it all wrong for iPhone6 in iOS 11. The average app launch time has increased by 3-5 seconds.
brand: @564602 We're here to help. Send us a DM and tell us when you updated to iOS 11. Did you update over Wi-Fi or iTunes?",@AppleSupport I DMed you the details.,,apple_music_media,auto_handle,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = auto_handle.
56,1524164,1524164,Fri Nov 03 16:29:29 +0000 2017,,Ummmm @AppleSupport my I️ are not i suddenly!!!,@473511 We'd like to look into your issue. Send us a DM with your device type and iOS version to get started. https://t.co/GDrqU22YpT,app_service_issue,auto_handle,"Identify the affected app/service and symptoms, then provide relevant troubleshooting or route to the appropriate service/support team.",Labeled as app_service_issue; expected action = auto_handle.
57,335738,335740,Sat Oct 14 15:11:06 +0000 2017,"customer: @196048 @115858 Ohhhh ok I thought I was tripping! The player from the locked screen doesn’t work. I can’t add songs to my library! just fckery 😒
brand: @196047 Let's help. DM us some further details and we can pick up from there. https://t.co/GDrqU22YpT",@AppleSupport Here we go again trying to add a song to my library and it won’t work😑😑😑😑,@196047 Which device and version of iOS are you using (Settings &gt; General &gt; About)? What happens when you try to add a song?,account_security,escalate,Avoid exposing or requesting sensitive credentials publicly; provide safe account/security guidance and escalate for account-specific investigation when necessary.,Labeled as account_security; expected action = escalate.
58,2447559,2447565,Thu Nov 16 00:19:24 +0000 2017,,"@AppleSupport Okay, I really don’t know how this happened. I did not try something else, but the tracks are magically in order now. 😄 I have nothing to do with this &amp; don’t know how this happened, but I ain’t complaining. 🤷🏻‍♂️😊 https://t.co/DUazRhboB9",@701602 Awesome! Thanks for updating us on this issue. Don't hesitate to reach out for further assistance.,purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
59,1982049,1982049,Thu Nov 02 16:35:05 +0000 2017,,"Do they even sell replacement screens for iPhone 5s? 😂 I feel like my phone is so old, but I can't afford to replace it. @applesupport",@586694 We're happy to check into screen repair options. Send us a DM and let us know your country and we'll start there. https://t.co/GDrqU22YpT,how_to_settings,auto_handle,Give concise step-by-step instructions for the relevant Apple setting or feature.,Labeled as how_to_settings; expected action = auto_handle.
60,584774,584776,Sun Dec 03 21:57:29 +0000 2017,"customer: @258008 @115858 X key stopped working about a week ago, sometimes it double presses and most of the time it just refuses. Pipe key almost always double presses. Blowing out the keys did nothing and actually ruined a coworkers space bar that was otherwise working fine.
brand: @258007 Let's look into this together. To get started, let us know which device you're using.
customer: @AppleSupport MacBook Pro (15-inch, 2017)
brand: @258007 Does this key respond better sometimes and then worse later on? Do you see a connection to having a low battery or being plugged in? Which country are you located in? That information will come in handy for our future steps.","@AppleSupport Yes, no, and the US, respectively. :)","@258007 Do you have Slow Keys turned on as that can affect the way a key responds? Check here: choose Apple menu &gt; System Preferences, click Accessibility, then click Keyboard. If they are, let's make sure it's disabled.",device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
61,2485740,2485739,Wed Nov 15 16:18:24 +0000 2017,"customer: @AppleSupport I have a 128gig iPhone, how do I make it use that as my default storage instead of my iCloud? It keeps telling me my iCloud is almost full but I got 128g of storage to avoid that problem
brand: @710039 We can understand wanting to store everything on your iPhone instead of iCloud since your iCloud is full. It’s possible your iCloud space could be full from backups. This article will explain how to manage your iCloud storage: https://t.co/7vNd2QAL5s",@AppleSupport That sort of misses my point. I don't want to need iCloud at all. I'm often without data and want to not need data to access my stuff.,@710039 We’d be happy to go through each iCloud setting with you. Let us know which version of iOS you’re running in DM. We’ll continue with you there. https://t.co/GDrqU22YpT,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
62,386561,386561,Mon Oct 09 04:04:52 +0000 2017,,"@AppleSupport Are we gonna get the option of Mobile Hotspot in next update of ios, or should we downgrade to Android?",@207514 You would need to contact your carrier to confirm if they support the feature. More details here: https://t.co/IunEeDwM8z,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
63,390079,390078,Mon Oct 09 15:40:43 +0000 2017,"customer: @115858 mane yall need to fix this update. Im tired of getting messages twice. This shit irritating. Mane wats up. Let me knw if yall working
brand: @208343 We'd love to help. Is this happening with all messages?",@AppleSupport When i txt apple users i will receive the message as a iMessage and a txt me.,@208343 Got it. Is the Send as SMS option enabled under Settings &gt; Messages? Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT,connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
64,1658287,1658286,Mon Nov 06 04:35:51 +0000 2017,"customer: Updated my phone and i still see questions marks. Wtf @115858
brand: @505952 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",@AppleSupport Smh,,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
65,2464883,2464882,Sun Oct 29 20:03:35 +0000 2017,"customer: Hey @115858 you assholes. My phone has been a broke pos since I updated. My next phone will for sure be an android. Fix your shit
brand: @173160 We'd like to help find a solution. Shoot us a DM of some additional details of what's going on. https://t.co/GDrqU22YpT",@AppleSupport No. Fix your shit. The new update is shit. Bye. Im going to android,,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Short acknowledgement; avoid inventing a support issue.
66,642019,642018,Wed Nov 22 20:39:02 +0000 2017,"customer: @AppleSupport my battery life sucks
brand: @272364 We understand the importance of battery life, and want to assist as much as possible! Which device are you using?",@AppleSupport i have the 6s plus and my battery is always going out sooo fast,"@272364 Got it, thanks. Please DM us via the following link with the current version of iOS you are using. You can view this under Settings &gt; General &gt; About. https://t.co/GDrqU22YpT",apple_music_media,auto_handle,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = auto_handle.
67,1146113,1146113,Tue Oct 24 10:52:39 +0000 2017,customer: @AppleSupport Do you have an estimated month? I’m having Apple withdrawal symptoms! 😱😭,@AppleSupport - when does your Bluewater store re-open please?,@389761 Great question! You’ll want to check back on our website for updates as they become available: https://t.co/KLrscSK9Zj,app_service_issue,auto_handle,"Identify the affected app/service and symptoms, then provide relevant troubleshooting or route to the appropriate service/support team.",Labeled as app_service_issue; expected action = auto_handle.
68,782779,782778,Mon Oct 30 02:07:46 +0000 2017,"customer: @AppleSupport How does #applecare for iPhone X consider back glass damage? Screen Repair cost or Other Repair cost? @115858 @157399
brand: @306853 We can help with all of your AppleCare questions about the iPhone X. This link has the answers: https://t.co/3zyMIIwK0O",@AppleSupport Is this link relevant to iPhone X? @115858 New Zealand page has different prices and there is no mention of backside glass panel.,@306853 This link has information specific to New Zealand about what's covered with AppleCare: https://t.co/EYSRmDXBjb,purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
69,9200,9263,Sun Nov 05 14:34:06 +0000 2017,"customer: @123366 @AppleSupport Same problem with my battery 😒 Just 5 minutes of browsing in Safari and the battery dropped 5%. Also using iPhone 7 Plus
customer: @123367 @AppleSupport @123366 Mee to same issue
brand: @593885 Let's take a look at this together. Have you already updated to iOS 11.1? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT
customer: @AppleSupport I️ updated my phone and I️ keep seeing these black boxes 😒",@AppleSupport Why can’t I️ see any emojis with the new update 🤬🤬🤬,@595234 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,account_security,escalate,Avoid exposing or requesting sensitive credentials publicly; provide safe account/security guidance and escalate for account-specific investigation when necessary.,Labeled as account_security; expected action = escalate.
70,1586276,1586275,Sat Nov 04 19:03:38 +0000 2017,"customer: @AppleSupport visual VM and texting pics &amp; groups over WiFi stopped working with update. When will these issues be fixed?
brand: @488021 We want your iPhone to function normally, &amp; we can help. To start, tell us which version of iOS 11 is your iPhone on currently.",@AppleSupport 11.1,"@488021 OK. Let’s move this conversation to DM, so we can gather a bit more detail, and start working towards a resolution together. https://t.co/GDrqU22YpT",how_to_settings,auto_handle,Give concise step-by-step instructions for the relevant Apple setting or feature.,Labeled as how_to_settings; expected action = auto_handle.
71,332799,332798,Wed Oct 18 01:35:01 +0000 2017,"customer: @195256 @115858 good to hear I am not the only one. Bought a iPhone 6S after the new phones came out. Having texting problems https://t.co/PiqlX5uXHo
brand: @195255 Send us a DM and let us know more details on what's happening in Messages. We want to help. https://t.co/GDrqU22YpT",@AppleSupport you asked me to send a DM. Don’t know what that is. Here’s a solid picture of what is happening https://t.co/7M9EQ02Jqo,@195255 No problem! Are you able to send us a message by tapping on the link below? https://t.co/GDrqU2kzhr,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Context-dependent conversational turn.
72,2568147,2568150,Mon Oct 30 19:08:39 +0000 2017,"brand: @728454 Hi there. Just to clarify, are you wanting to know how to purchase the iPhone X?
customer: @AppleSupport Yes
brand: @728454 Our Sales team can help with that! So that we can help you get in touch with Sales, can you let us know which country you're in?
customer: @AppleSupport I am in Saudi Arabia",@AppleSupport But i can take from Dubai ?,"@728454 Since the iPhone X is only available for pre-order at this time, please reach out to our Sales team here: https://t.co/aX9flipE6Z",software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
73,2577059,2577059,Thu Nov 16 20:26:27 +0000 2017,,This just happened; simply snapped while I was unplugging it from my iPhone. A friend told me you could help? @AppleSupport @115858 https://t.co/yTw9mkSFMf,@730703 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
74,1680846,1680843,Mon Nov 06 10:49:53 +0000 2017,"customer: @AppleSupport every new updates for the new iOS has messed up my phone really bad. Battery drains fast, deleting apps, my phone freezes
brand: @511082 That's not the experience we want you to have today. Which model iPhone, and what version of iOS are you using at this time? https://t.co/GDrqU22YpT
customer: @AppleSupport iPhone 7 Plus and iOS version 11.0.3",@AppleSupport If I️ wanna move app from one side to the other? When I️ drag them and finally drop the app where I️ want it goes back to where it was.,@511082 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
75,2057257,2057257,Thu Oct 19 00:08:54 +0000 2017,,I’m so sick of @115858 ever since the new iPhone came out mine has been acting up I can’t even update my fucking apps 😒😤,@291957 We'd like to help. Please DM us the iOS version that's currently installed and we'll get started. https://t.co/GDrqU2kzhr,connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
76,2293093,2293092,Sat Nov 11 22:42:54 +0000 2017,"customer: @AppleSupport what is with this freaking keyboard in recent update. I’m so sick of correcting numbers sneaking into my words I’m now willing to look at other products
brand: @665906 We want to help. Let's continue in DM. https://t.co/GDrqU22YpT","@AppleSupport God I’ve been tweeting constantly as have others. I can DM but it’s just a shitty design for your new keyboard. I type letters as a,ways and the stupid numbers appear instead.",,apple_music_media,auto_handle,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = auto_handle.
77,2833097,2833096,Mon Nov 27 13:57:36 +0000 2017,"customer: @115858 @AppleSupport WHY does my phone vibrate even when i don’t have any kind of notification? Got me thinking someone actually texted me but nooo my phone is just randomly vibrating 🤷🏾‍♀️
brand: @788713 Thanks for bringing this behavior to our attention. Let’s work together to get this addressed. To clarify, how long has this been happening? Also, approximately how often does it happen? Which iPhone are you using?","@AppleSupport Maybe for about 3 months, it used to be pretty far apart like hours apart now it feels like every 20 minutes or so. And i have an iPhone 7",@788713 Which version of the iOS is currently installed on the device? https://t.co/GDrqU22YpT,app_service_issue,auto_handle,"Identify the affected app/service and symptoms, then provide relevant troubleshooting or route to the appropriate service/support team.",Labeled as app_service_issue; expected action = auto_handle.
78,724939,724939,Wed Oct 11 03:00:57 +0000 2017,,Ever since the update my phone freezes at least twice a day 🙃🙃 @115858,@293639 Thank you for reaching out. We are here to help. Please DM us and we will continue from there. https://t.co/GDrqU22YpT,purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
79,287446,287450,Thu Oct 12 18:30:20 +0000 2017,"customer: @AppleSupport Yes, precisely, when I updated to iOS 11 it started. Apps take longer to load, particularly phone and messages
brand: @184501 Thanks for this information. Which version of iOS 11 are you running? The latest is iOS 11.0.2: https://t.co/soeXTHWFdK
customer: @AppleSupport iOS 11.0.2 and it still runs slow, particularly messages and phone....
brand: @184501 Are you using Low Power Mode? If so, disable, restart, and let us know if it helps.",@AppleSupport No not using low power mode. Seeing many others having same problem as I am with slow glitchy phone. When will this update be fixed?,@184501 Got it. Have you had a chance to upgrade to iOS 11.0.3 yet? Here's how: https://t.co/ahjigcvFRG,account_security,escalate,Avoid exposing or requesting sensitive credentials publicly; provide safe account/security guidance and escalate for account-specific investigation when necessary.,Labeled as account_security; expected action = escalate.
80,2081530,2081530,Mon Oct 09 23:41:44 +0000 2017,,Still having battery charge issues @115858 @AppleSupport #sodisappointed,@610095 What is the exact iOS version running on your iPhone? Let's meet back up in DM to continue working towards a solution. https://t.co/GDrqU22YpT,how_to_settings,auto_handle,Give concise step-by-step instructions for the relevant Apple setting or feature.,Labeled as how_to_settings; expected action = auto_handle.
81,751759,751755,Wed Oct 11 18:22:25 +0000 2017,"customer: Anybody else having iPhone issues after this new update? My phone keeps on freezing 😫 the time disappears @AppleSupport https://t.co/LEnncI5BTV
brand: @299676 Let's work on this together. When exactly did you start to notice this happening? Which device are you using?
customer: @AppleSupport I have an iPhone 7. It’s been freezing ever since I installed iOS 11. The screen turns blank, my messages app freezes
brand: @299676 Thanks for providing that information. Can you tell us which version of iOS 11 you're using?",@AppleSupport iOS 11.0.2,@299676 Thanks. Let's create a backup and update to iOS 11.0.3. Here's how: https://t.co/soeXTHWFdK DM us if you have any issues. https://t.co/GDrqU22YpT,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
82,848303,848291,Fri Oct 20 15:46:30 +0000 2017,"customer: @AppleSupport I did not understood what do you mean by DM my iPhone
brand: @308070 We'd like to continue with you via DM. Send us a DM and let us know which device you're using: https://t.co/GDrqU2kzhr
customer: @AppleSupport iPhone 6s 32 GB model with iOS 11.0.3 what else you need,,","@AppleSupport Difficult to organise the photos by app wise like WhatsApp and Facebook etc,,,","@308070 Are you able to send a DM using Twitter's website? If not, connect with us via phone or chat here: https://t.co/IBIY3vMgPj",general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Insufficient standalone detail.
83,1449171,1449170,Thu Nov 02 17:00:35 +0000 2017,"customer: @AppleSupport why does this appear every time I️ write the I️? https://t.co/EN5xZKTTT0
brand: @456271 We want to help. Which iOS version are you running?",@AppleSupport Up to date https://t.co/xPAT6FApBS,@456271 Great! Let's get to DM for our next steps. https://t.co/GDrqU22YpT,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
84,463959,463959,Wed Nov 29 22:20:00 +0000 2017,"customer: @AppleSupport Current: iOS 11.1.2
brand: @169259 Let's hop into DM and go from there: https://t.co/GDrqU22YpT",@AppleSupport New bug? “it” gets autocorrected to “I.T”. Or is it just me? #iOS11,@169259 We'd love to help out with your text! Which version of iOS 11 have you updated to?,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
85,403572,403572,Mon Oct 09 18:57:28 +0000 2017,,@AppleSupport Do you know why I am unable to see the software on iPhone 8plus? I have my old phone 6s on 11.0.2 and I can’t use my backup https://t.co/wFY6NUTxQU,"@211520 We're happy to help. Just so we understand, you can't update your 8+, but you're trying to use the backup from the 6s?",connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
86,2015943,2015943,Sun Nov 05 17:22:42 +0000 2017,,Can we get some help with this? @AppleSupport @115858 i can’t type a capital i https://t.co/CC6wu0XkVv,@596137 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,apple_music_media,auto_handle,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = auto_handle.
87,2506706,2506706,Sun Nov 26 19:24:58 +0000 2017,,"@AppleSupport Hello , I've got this problem , what should I do? , I couldn't stop finding my iPhone https://t.co/m2PrnX9F9c","@714729 Hey, thanks for reaching out. We're here to help. Are you getting this error when you try to switch on the 'Find My iPhone' feature?",app_service_issue,auto_handle,"Identify the affected app/service and symptoms, then provide relevant troubleshooting or route to the appropriate service/support team.",Labeled as app_service_issue; expected action = auto_handle.
88,2000772,2000772,Thu Nov 02 23:51:17 +0000 2017,brand: @591617 We'd like get some details about this. Meet us in DM and tell us which exact version of iOS you're using and we'll take a look. https://t.co/GDrqU22YpT,@AppleSupport why can’t I️ use I️?!? https://t.co/DrohhYBMSH,,purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
89,94868,94868,Thu Nov 30 15:01:48 +0000 2017,customer: @AppleSupport I hate my phone 😡 y’all really tripping ! Black berry me,My phone really fucking up😡😡😡😡😡😡😡 hanging up in the middle of my ft calls WTF @AppleSupport,@136618 That should not be happening. Let us help. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.,account_security,escalate,Avoid exposing or requesting sensitive credentials publicly; provide safe account/security guidance and escalate for account-specific investigation when necessary.,Labeled as account_security; expected action = escalate.
90,1078749,1078749,Tue Nov 07 16:25:08 +0000 2017,,Yo this update ruined my phone... @115858,"@374467 We'd like to investigate this with you. Please send us a DM with the details, and which version of iOS 11 you're updated to. https://t.co/GDrqU22YpT",how_to_settings,auto_handle,Give concise step-by-step instructions for the relevant Apple setting or feature.,Labeled as how_to_settings; expected action = auto_handle.
91,1641964,1641964,Sun Nov 05 20:08:00 +0000 2017,brand: @501926 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,I️ wanna know why my phone has question marks replacing my I’s...? @AppleSupport,@501927 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
92,1614965,1614964,Wed Oct 18 18:43:14 +0000 2017,"customer: #iOS11 is pretty weak so far. The most disappointing issue is battery drain. A 7+ won’t even last an easy day now @115858 #DontUpgrade
brand: @296627 We'd be happy to look into the battery issues you're experiencing on your iPhone. DM us details and we'll help there. https://t.co/GDrqU22YpT
customer: @AppleSupport I am sure you know full well that you cannot help me, and that iOS11 is flawed. So please don’t waste yours or my time. When is 11.1 out?",@296627 @115858 Yup! My phone used to last all day now I charge it about 3 times.,@495350 We'd like to get a closer look at the issues you are seeing on your iPhone. Could you join us in DM with more info? https://t.co/GDrqU22YpT,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
93,897163,897160,Sat Oct 21 01:07:46 +0000 2017,,@AppleSupport It happened outside as well. It seems to be happening a lot and only since the iOS update.,@333046 Have you reached out to your carrier? Let us know in DM? https://t.co/GDrqU22YpT,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
94,336590,336589,Sat Oct 07 17:28:31 +0000 2017,"customer: @AppleSupport This happened ever since the iso 11 update.
brand: @196306 The volume rocker’s functionality is dependent on which app you are using. In the Music app, does it only control the ringer?",@AppleSupport When I’m on him screen an nothin is being used I still just adjust he headphones volume.,"@196306 Just to confirm, do you have headphones in while at the home screen and trying to adjust the volume?",connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
95,1614910,1614908,Wed Oct 18 18:39:35 +0000 2017,"customer: @AppleSupport All of my pictures are blurry now and they all have this thing on them in the bottom right https://t.co/kLImnw9N4G
brand: @495337 Let's get together and look into this. Are you connected to the internet via Wi-Fi or cellular data? DM us and let us know.",@AppleSupport I have wifi,@495337 Thanks for clarifying this for us. Go ahead and send us a DM so we can look into this further with you. https://t.co/GDrqU22YpT,apple_music_media,auto_handle,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = auto_handle.
96,1305197,1305199,Fri Oct 27 03:44:49 +0000 2017,"brand: @424988 We're here for you. What Apple device are you having this issue with and which OS version is it running?
customer: @AppleSupport I have iPhone 7 but when I opens the App Store show me this message and I wanna to make the upgrade for the new phone from the app https://t.co/KzHyHDTBbf
customer: @AppleSupport I have iOS 11.3
brand: @424988 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT",@AppleSupport @424988 I also have iPhone 7 and the app is still down. 😟,@424989 Thanks for the update! We'd love to help; please meet us in DM so we can continue with isolating the problem. Thank you!,app_service_issue,auto_handle,"Identify the affected app/service and symptoms, then provide relevant troubleshooting or route to the appropriate service/support team.",Labeled as app_service_issue; expected action = auto_handle.
97,2010075,2010075,Wed Oct 18 19:26:20 +0000 2017,,@AppleSupport I cannot change my Apple ID as the verification code is being sent to a closed email address. Help!,@594380 We're happy to help. You can check out this article for steps to try to get your verification code. https://t.co/gZlEJEsNrU,purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
98,2134923,2134922,Thu Nov 09 00:31:29 +0000 2017,,@AppleSupport iOS 11.0.3,"@628104 Alright, we have since released iOS 11.1. Let's start with updating and see how that goes. https://t.co/80YRnjDFDk",account_security,escalate,Avoid exposing or requesting sensitive credentials publicly; provide safe account/security guidance and escalate for account-specific investigation when necessary.,Labeled as account_security; expected action = escalate.
99,496845,496844,Fri Dec 01 18:33:40 +0000 2017,"customer: i’d appreciate it, @115858, if you’d STOP automatically turning on my bluetooth connection on my iPad when being forced to do a restart after the numerous #iOS11 updates. thanks.
brand: @233550 Hey there. It's not expected for Bluetooth to turn on by itself when turned off, so we want to look into this with you. Are you turning it off from the Settings app, or attempting to turn it off from the Control Center?",@AppleSupport i always used control center. i don’t have a need to use bluetooth connectivity so it’s disheartening when i find it on and using battery needlessly. i’ll try going to settings to see if that will fix the repetitive issue.,@233550 Bluetooth works differently in iOS 11. This link gives more detail: https://t.co/G7BHuQnDS6,how_to_settings,auto_handle,Give concise step-by-step instructions for the relevant Apple setting or feature.,Labeled as how_to_settings; expected action = auto_handle.
100,2893437,2893437,Tue Nov 28 14:09:55 +0000 2017,,@AppleSupport @115858 are you guys waiting to reply until my warranty expires? #whatsup #iphonex #iPhone8 #iPhone #iphone7 #apple,@801948 Hello. We'd like to discuss it with you. Please meet us in DM. https://t.co/GDrqU22YpT,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Insufficient context for a specific technical category.
101,2273988,2273986,Sat Nov 11 04:10:13 +0000 2017,"customer: @115858 so were you going to fix this “i” situation ... or you just chilling? Like my mans said .. Got a damn iPhone and the “i” don’t work
brand: @661424 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6 DM us if there's any questions. https://t.co/GDrqU22YpT",@AppleSupport Thanks!,@661424 You are most welcome! Let us know if we can further assist you.,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
102,2279216,2279218,Tue Nov 14 00:42:05 +0000 2017,"customer: @AppleSupport desde que actualice al iOS 11.1 la pila se termina muy rápido
brand: @662658 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
customer: @AppleSupport Since i update to iOS 11.1 the battery runs out very fast On my iPhone 6 before that i havent any problem
brand: @662658 We're here to help. Check out these great tips on maintaining battery health, and DM us if you have any questions or issue continues: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT",@AppleSupport Its not a battery issue you allways make this changes on the updates to disturbe the oldes phones and make us tu buy new one 🤨,,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
103,1962457,1962457,Tue Oct 31 00:26:11 +0000 2017,,"@AppleSupport Hi, so I had 6k+ pictures got deleted. Yes there's 230 in the recently deleted but those are the only ones remained. https://t.co/RfjENfG2zj",@581914 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
104,1913154,1913152,Sat Nov 25 14:11:34 +0000 2017,"customer: @115858 I’ve just updated to latest iOS and now safari is useless, can’t open any links. Round of applause #iphone take a bow.
brand: @569874 We use Safari all the time so we're more than happy to team up with you to get it working again. Do you get any error messages when you try? Have you restarted your iPhone since this began?
customer: @AppleSupport I have restarted the phone. I have cleared all cookies, I have cleared internet browsing history. I have reinstalled safari.",@AppleSupport Still doesn’t work,@569874 You've done some great troubleshooting so far. Do you receive any error messages when you try to load a webpage? Let us know in DM. https://t.co/GDrqU22YpT,connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
